epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3177083432674408,9.999999747378752e-05,2.1482303142547607,0.25,1.9275330305099487
1,0.3732638955116272,9.999999747378752e-05,1.853135585784912,0.234375,3.8595926761627197
2,0.4001736044883728,9.999999747378752e-05,1.8113000392913818,0.2578125,5.244106292724609
3,0.3758680522441864,9.999999747378752e-05,1.8024815320968628,0.265625,4.6792216300964355
4,0.4036458432674408,9.999999747378752e-05,1.719006061553955,0.234375,3.5238170623779297
5,0.4236111044883728,9.999999747378752e-05,1.7105282545089722,0.2734375,3.1035823822021484
6,0.4010416567325592,4.999999873689376e-05,1.660527229309082,0.2421875,3.1493730545043945
7,0.4340277910232544,4.999999873689376e-05,1.6181221008300781,0.3515625,3.219365358352661
8,0.3949652910232544,4.999999873689376e-05,1.7468831539154053,0.328125,4.146810531616211
9,0.4036458432674408,4.999999873689376e-05,1.6632698774337769,0.3046875,4.310112953186035
10,0.4296875,4.999999873689376e-05,1.6318182945251465,0.3203125,4.254515647888184
11,0.4253472089767456,2.499999936844688e-05,1.5415648221969604,0.3203125,4.6959733963012695
12,0.4175347089767456,2.499999936844688e-05,1.6421232223510742,0.34375,5.63967752456665
13,0.4444444477558136,2.499999936844688e-05,1.5498496294021606,0.3203125,5.185412883758545
14,0.4279513955116272,2.499999936844688e-05,1.6247727870941162,0.3359375,4.279103755950928
15,0.4244791567325592,2.499999936844688e-05,1.62372624874115,0.3125,4.946826457977295
16,0.4157986044883728,1.249999968422344e-05,1.5895613431930542,0.3203125,4.694843292236328
17,0.4574652910232544,1.249999968422344e-05,1.4888057708740234,0.2734375,4.942689895629883
